token,class,category,source,approved_at,unknown_id,ranking_score,correct,eval_split
S-105,S,,human_approved,2026-07-22T10:54:41.914374+00:00,956b6519,,,
S-200,S,,human_approved,2026-07-22T10:54:42.105601+00:00,c8ecf86f,,,
S-300,S,,human_approved,2026-07-22T10:54:42.603637+00:00,eafe4d63,,,
S-302,S,,human_approved,2026-07-22T10:54:43.097923+00:00,60a2a3d6,,,
S-400,S,,human_approved,2026-07-22T10:54:43.313137+00:00,4b0d0cb3,,,
S-500,S,,human_approved,2026-07-22T10:54:43.601218+00:00,4ec9c250,,,
S-600,S,,human_approved,2026-07-22T10:54:43.915717+00:00,b350ea90,,,
S-700,S,,human_approved,2026-07-22T10:54:44.070979+00:00,4156c923,,,
S-701,S,,human_approved,2026-07-22T10:54:44.383285+00:00,f3bb196e,,,
S-710,S,,human_approved,2026-07-22T10:54:44.551774+00:00,6c7a655b,,,
S-711,S,,human_approved,2026-07-22T10:54:45.285567+00:00,f3e0441d,,,
S-800,S,,human_approved,2026-07-22T10:54:46.333112+00:00,ebec8837,,,
HSS12X4,HSS,,human_approved,2026-07-22T10:56:14.850977+00:00,7633cf1d,,,
HSS4x0,HSS,,human_approved,2026-07-22T10:58:54.276418+00:00,44e5e6a1,,,
HSS6X0,HSS,,human_approved,2026-07-22T10:59:07.319738+00:00,ed80baac,,,
L5x5x1/4,L,,human_approved,2026-07-22T10:59:07.812651+00:00,971e7ce3,,,
S-121,S,,human_approved,2026-07-22T10:59:08.242998+00:00,910b722c,,,
S-122,S,,human_approved,2026-07-22T10:59:08.660005+00:00,b3ff63ce,,,
S-123,S,,human_approved,2026-07-22T10:59:09.035467+00:00,b85060a0,,,
S-124,S,,human_approved,2026-07-22T10:59:09.495441+00:00,93b583d1,,,
S-131,S,,human_approved,2026-07-22T10:59:09.887433+00:00,b01c47c7,,,
S-132,S,,human_approved,2026-07-22T10:59:10.358301+00:00,f44d49e6,,,
S-141,S,,human_approved,2026-07-22T10:59:10.777503+00:00,41f44f78,,,
S-142,S,,human_approved,2026-07-22T10:59:11.218233+00:00,9ea9e115,,,
S-209,S,,human_approved,2026-07-22T10:59:12.239596+00:00,8675a6ec,,,
S-313,S,,human_approved,2026-07-22T10:59:13.409824+00:00,c0928292,,,
WF99X99,A,material,human_review,2026-07-22T14:06:33.273003+00:00,f134aba2-a0ca-4030-8930-82b6afd28919,,,
A992,A992,material,human_review,2026-07-22T14:06:37.469644+00:00,9b01bee2-6a50-4b21-8988-54f921ee6269,,,
A123,A123,material,human_review,2026-07-22T14:06:47.211264+00:00,4de4737c-5ecf-40f1-a65e-f013f7489f1e,,,
A205,A205,material,human_review,2026-07-22T14:06:52.597739+00:00,6faf3985-fa82-4834-9807-607f65884467,,,
A307,A307,bolt,human_review,2026-07-23T08:33:14.958803+00:00,854d5446-f2fb-444e-92ba-ee5a90d63232,,,
A325,A325,bolt,human_review,2026-07-23T08:33:23.037405+00:00,29ce9b9a-529c-49be-a524-8e94586cabfc,,,
A36,A36,material,human_review,2026-07-23T08:33:32.892940+00:00,9f7473b1-8866-4379-9c1a-3daaa042f44b,,,
A5,A,material,human_review,2026-07-23T08:34:08.590112+00:00,3d584bd3-3c54-4a37-b5ce-22e761c9cde9,,,
A572,A572,material,human_review,2026-07-23T08:34:17.446124+00:00,0e0e9370-f05e-4636-9e88-fbdb94eff806,,,
HSS10x10,HSS,structural_section,human_review,2026-07-23T08:34:34.702985+00:00,6207b4ac-0f35-425e-93ff-c38e10d61634,,,
HSS3x3,HSS,structural_section,human_review,2026-07-23T08:34:38.373084+00:00,0a1a0d88-0415-45de-834b-3498fc1d0739,,,
HSS6x8x1/2,HSS,structural_section,human_review,2026-07-23T08:34:45.004627+00:00,16584a94-05df-418c-9c0e-06a72a64b0c8,,,
HSS8X8,HSS,structural_section,human_review,2026-07-23T08:34:47.894980+00:00,62a8b5d5-28a5-4d14-b722-1bebc87fc353,,,
A615,A615,bolt,human_review,2026-07-23T10:23:02.646476+00:00,4fddfc69-f2e9-47cf-acb2-3f0903343e13,,,
S-000,S,structural_section,human_review,2026-07-23T10:23:05.422064+00:00,450f9954-6bed-4fe4-aa8c-a407f6a75485,,,
S-001,S,structural_section,human_review,2026-07-23T10:23:10.572598+00:00,e5d738b3-68a6-4636-998d-e8bc07e3fb61,,,
S-002,S,structural_section,human_review,2026-07-23T10:23:15.570246+00:00,7851958c-4d5f-49cc-91da-b03b3900500f,,,
S-003,S,structural_section,human_review,2026-07-23T10:23:18.556486+00:00,25026dd6-d817-4626-8528-97c25f57ea0d,,,
S-004,S,structural_section,human_review,2026-07-23T10:23:20.985080+00:00,aa50e641-ca73-4578-8446-9d4c7abc9211,,,
S-005,S,structural_section,human_review,2026-07-23T10:23:28.322324+00:00,38ecbf86-752a-45d9-8c27-3005f271db26,,,
S-100,S,structural_section,human_review,2026-07-23T10:23:31.248503+00:00,217a81d5-25f5-4df2-a802-d7b2b1a32a68,,,
S-101,S,structural_section,human_review,2026-07-23T10:23:35.834952+00:00,44fcadbd-d5d2-4707-8c0e-ed413eba7ba9,,,
A1064,A1064,bolt,human_review,2026-07-23T11:12:09.414953+00:00,f15e9b70-f07f-472f-a708-379cff9442b8,,,
S-102,S,structural_section,human_review,2026-07-23T11:12:52.010266+00:00,d41bd25e-509c-464d-af95-a73165221dff,,,
S-103,S,structural_section,human_review,2026-07-23T11:12:52.059626+00:00,c8477e67-1c47-4a57-b172-c07030bcee4f,,,
S-104,S,structural_section,human_review,2026-07-23T11:12:52.100401+00:00,25994525-1431-410d-9610-f953316de83a,,,
S-105,S,structural_section,human_review,2026-07-23T11:12:52.136986+00:00,bc2b3121-4794-469d-a992-a041b40fcb54,,,
S-200,S,structural_section,human_review,2026-07-23T11:12:52.191444+00:00,9dc2ab04-e468-4659-88df-3dcef195488f,,,
S-300,S,structural_section,human_review,2026-07-23T11:12:52.227508+00:00,7d8106d3-ba94-440c-a0e8-ee80e86bd2db,,,
S-302,S,structural_section,human_review,2026-07-23T11:12:52.270014+00:00,234ef8fe-1c26-4702-93fa-ce7dc5f44cf4,,,
S-400,S,structural_section,human_review,2026-07-23T11:12:52.304988+00:00,c34946d4-6350-4034-92e5-2ee5a96c5c69,,,
S-500,S,structural_section,human_review,2026-07-23T11:12:52.333301+00:00,e46a1c40-fa8a-45a1-b3fb-0c15073364e2,,,
S-501,S,structural_section,human_review,2026-07-23T11:12:52.368743+00:00,c91b3aa8-f705-4e6c-97cc-b6e221bddd68,,,
S-600,S,structural_section,human_review,2026-07-23T11:12:52.399489+00:00,4d2fc51e-04b2-4378-a0ca-dc03a19f7e02,,,
S-700,S,structural_section,human_review,2026-07-23T11:12:52.423785+00:00,dd82ec74-fdf3-4598-b872-5e8731ba5609,,,
S-701,S,structural_section,human_review,2026-07-23T11:12:52.452610+00:00,c05a2b70-67c7-4524-8c23-f359a09fa74b,,,
S-710,S,structural_section,human_review,2026-07-23T11:12:52.482992+00:00,db7e0843-9b44-42f8-98f8-1812870fe508,,,
S-711,S,structural_section,human_review,2026-07-23T11:12:52.507735+00:00,cd701ce5-e5be-4014-ba58-0222f81490c3,,,
S-800,S,structural_section,human_review,2026-07-23T11:12:52.532222+00:00,26dfddf9-5604-44e2-a225-8ce34b0bd04b,,,
A108,A108,material,human_review,2026-07-23T11:12:52.554381+00:00,68a5f122-11aa-4648-b4f3-7fefe1f78736,,,
A2280,A2280,material,human_review,2026-07-23T11:12:52.575300+00:00,8256e2e2-7760-4716-803a-23d7f97b4969,,,
A29,A29,material,human_review,2026-07-23T11:12:52.605533+00:00,0ac0612b-eb62-4b92-9287-d8caefe87e9f,,,
A416,A416,material,human_review,2026-07-23T11:12:52.625036+00:00,c03fee92-7fa4-4e2b-ad05-b6d038dc7bc0,,,
A446,A446,material,human_review,2026-07-23T11:12:52.648792+00:00,8f5541af-5a05-4574-9018-2ebe389d49e5,,,
A490,A490,bolt,human_review,2026-07-23T11:12:52.797139+00:00,b319d839-39b7-4b7a-933b-ec1262ea8a21,,,
A500,A500,material,human_review,2026-07-23T11:12:52.872962+00:00,284ae0e0-e860-4e9c-ae1d-e67bbc8d2f30,,,
A53,A53,material,human_review,2026-07-23T11:12:52.903426+00:00,f3c78aa6-917e-4ea9-b9aa-4ffaa57b3a9c,,,
A563,A563,bolt,human_review,2026-07-23T11:12:52.930300+00:00,84da5b2e-3997-4510-a03b-ef2e7e7324bf,,,
A653,A653,material,human_review,2026-07-23T11:12:52.958337+00:00,2ad62109-082d-4386-841f-be704d8a035a,,,
A706,A706,material,human_review,2026-07-23T11:12:52.990355+00:00,42be89b2-ddcd-4fc3-b7da-177e5d54399d,,,
A913,A913,material,human_review,2026-07-23T11:12:53.016003+00:00,350ba069-a72e-442e-ba5a-5008da7662c4,,,
A959,A959,material,human_review,2026-07-23T11:12:53.035758+00:00,83a00fb5-49f6-44c5-b087-2cc4ce1d7de5,,,
HSS5x5,HSS,structural_section,human_review,2026-07-23T11:12:53.059860+00:00,1e0ec9fd-2a54-457e-8982-88482d9e1263,,,
L18x12x3/8,L,structural_section,human_review,2026-07-23T11:12:53.082675+00:00,18d2192e-bdf4-4b16-93e7-06993c6e09a0,,,
L5x5,C,structural_section,human_review,2026-07-23T11:12:53.107168+00:00,df361bea-fccb-4918-9f39-e47042962f23,,,
A123,A123,material,human_review,2026-07-23T11:12:53.126383+00:00,41f7585a-acc1-4ae3-8be0-6dc8f0860422,,,
A153,A153,material,human_review,2026-07-23T11:12:53.152275+00:00,94bff9f0-045a-452d-930a-19e560fabd64,,,
A496,A496,material,human_review,2026-07-23T11:12:53.172936+00:00,96fac8c1-8b0b-4e75-969f-97dd2e887508,,,
A525,A525,material,human_review,2026-07-23T11:12:53.191444+00:00,2be84ed3-6c36-4dde-8617-1bb55ceb4990,,,
A775,A775,material,human_review,2026-07-23T11:12:53.214550+00:00,8c73af66-dafd-44ee-8131-f1c19785ad10,,,
A780,A780,material,human_review,2026-07-23T11:12:53.229991+00:00,ecc6f476-e3b2-4bb4-8d12-ceb2cb6bfff6,,,
A992,A992,material,human_review,2026-07-23T11:12:53.251051+00:00,cf88606c-8e61-41a7-8ed1-dff217c2e1bc,,,
HSS12x12,HSS,structural_section,human_review,2026-07-23T11:12:53.269222+00:00,520c1f32-053e-4734-957e-666f9a63d326,,,
HSS14x0,HSS,structural_section,human_review,2026-07-23T11:12:53.286695+00:00,d0ccd004-1c32-417d-87b8-3dbbc853431d,,,
HSS14x10,HSS,structural_section,human_review,2026-07-23T11:12:53.305726+00:00,ed001eb9-3cce-4943-96ff-5e25500a124d,,,
HSS14x14,HSS,structural_section,human_review,2026-07-23T11:12:53.323030+00:00,6185d47c-1fd4-48c6-afcf-8d9b08d0a4ea,,,
HSS6x6,HSS,structural_section,human_review,2026-07-23T11:12:53.340783+00:00,620927cf-f096-481b-bd1f-4d6d6a7e0f44,,,
HSS8X6,HSS,structural_section,human_review,2026-07-23T11:12:53.359362+00:00,30f567f6-f760-424f-94d7-024c80e62dd3,,,
HSS8x4,HSS,structural_section,human_review,2026-07-23T11:12:53.376719+00:00,b00cd730-b4a7-4e21-941b-1c34e56ff430,,,
L2x2x10,L,structural_section,human_review,2026-07-23T11:12:53.393436+00:00,7b769dc9-ec16-4b41-8487-946cc6b97a03,,,
L4x4,L,structural_section,human_review,2026-07-23T11:12:53.414676+00:00,729cdd36-6ce1-4ba6-92fd-2d7de282dc1d,,,
L5x3,L,structural_section,human_review,2026-07-23T11:12:53.434328+00:00,9e1a82d8-8d7c-4543-80ab-4e8c0cc9f379,,,
L6x3,L,structural_section,human_review,2026-07-23T11:12:53.456446+00:00,ea5e1bae-7147-42c4-b013-a668f4a57570,,,
L6x4x1/4,L,structural_section,human_review,2026-07-23T11:12:53.482984+00:00,21d896e8-2ac8-47d6-9823-54802d1deffd,,,
L7x7x1/2,L,structural_section,human_review,2026-07-23T11:12:53.511917+00:00,3105879e-e581-4c49-846e-0159a90e70dc,,,
W18x36,W,structural_section,human_review,2026-07-23T11:12:53.534405+00:00,e41d8e0e-c407-4eb0-84ee-6904d37beb10,,,
A123,A123,bolt,human_review,2026-07-23T11:21:28.447728+00:00,ec40e958-cb30-40f7-b2ea-11bd2cbc4eab,,,
A205,A205,bolt,human_review,2026-07-23T11:21:38.560934+00:00,c28bdee9-383b-4360-ba93-3550471f6227,,,
A307,A307,bolt,human_review,2026-07-23T11:21:42.522078+00:00,6f5789ce-7b25-4702-94b1-5ce1757a316b,,,
A325,A325,bolt,human_review,2026-07-23T11:21:43.933110+00:00,d55f2e09-e84c-46d1-88a3-0f897a42beef,,,
A36,A36,bolt,human_review,2026-07-23T11:21:50.716543+00:00,51cde580-f259-4383-8832-fdadf8a420e9,,,
A5,A,bolt,human_review,2026-07-23T11:21:58.083855+00:00,e84d97a1-2e4a-46d5-9a6a-6458d4d3340d,,,
HSS10x10,HSS,structural_section,human_review,2026-07-23T11:22:07.989112+00:00,89105acf-5206-411c-bd9f-d19a0d77b57f,,,
HSS3x3,HSS,structural_section,human_review,2026-07-23T11:22:09.844433+00:00,673b1279-f5a4-4c98-9ea2-7ed2f33c4130,,,
HSS6x8x1/2,HSS,structural_section,human_review,2026-07-23T11:22:12.143386+00:00,fa0bad9b-8796-4664-b8ee-e31367a666bf,,,
HSS8X8,HSS,structural_section,human_review,2026-07-23T11:22:14.552569+00:00,97627c82-0278-44d1-90f6-c1827ef38c82,,,
S-000,S,structural_section,human_review,2026-07-23T11:22:19.167072+00:00,14314066-9009-4cbd-ba41-5efe6bdc4695,,,
S-001,S,structural_section,human_review,2026-07-23T11:22:20.425392+00:00,6bf32894-2233-42ed-890d-50f687edfd48,,,
S-002,S,structural_section,human_review,2026-07-23T11:22:21.802580+00:00,a9b6b644-fe16-41e7-8ef2-68b823309948,,,
S-003,S,structural_section,human_review,2026-07-23T11:22:23.033728+00:00,a6523dde-cb29-456c-8026-5c6e8ef13bb3,,,
S-004,S,structural_section,human_review,2026-07-23T11:22:23.747337+00:00,6d45ef20-0310-48a1-ac12-f9c432e52dee,,,
S-005,S,structural_section,human_review,2026-07-23T11:22:24.527211+00:00,612ba5b1-883d-4c17-a55e-9d2e58c8b165,,,
S-100,S,structural_section,human_review,2026-07-23T11:22:25.131866+00:00,feda0939-d8c3-429f-b0eb-39406fb3a36a,,,
S-101,S,structural_section,human_review,2026-07-23T11:22:26.156497+00:00,43b091b2-a3f9-4752-9a17-907e069ca548,,,
S-102,S,structural_section,human_review,2026-07-23T11:22:26.654856+00:00,ada2665a-f67e-4f05-ab6e-26eab6967be7,,,
S-103,S,structural_section,human_review,2026-07-23T11:22:27.219459+00:00,e84a8840-5dc7-4240-b935-88a4ace8ec75,,,
S-104,S,structural_section,human_review,2026-07-23T11:22:28.188183+00:00,a75306c7-3224-477d-8fcf-933388bc4ff5,,,
S-105,S,structural_section,human_review,2026-07-23T11:22:28.703551+00:00,67d3badc-fddd-4721-8315-07923352c98d,,,
S-200,S,structural_section,human_review,2026-07-23T11:22:29.305399+00:00,c038d8c8-21e8-4620-af5e-9feb2a4552b7,,,
S-300,S,structural_section,human_review,2026-07-23T11:22:29.807806+00:00,fe274f0e-a0b7-4b8e-a56b-f8c3651e6cd6,,,
S-302,S,structural_section,human_review,2026-07-23T11:22:30.341436+00:00,f1a1de05-eecd-4cff-bca4-23078905e3b5,,,
S-400,S,structural_section,human_review,2026-07-23T11:22:30.804755+00:00,b5efd2bd-fb3b-46e4-b2fb-1b7b2044b3c4,,,
S-500,S,structural_section,human_review,2026-07-23T11:22:31.295240+00:00,c7cc7bb4-7ad3-47bd-a343-3a4e9ff96913,,,
S-501,S,structural_section,human_review,2026-07-23T11:22:31.824315+00:00,0a5b1c6e-4594-4324-a182-09e15395b04b,,,
S-600,S,structural_section,human_review,2026-07-23T11:22:32.280045+00:00,151b0a31-d8a7-4cbd-9717-7bb1dd0d690d,,,
A992,A992,material,human_review,2026-07-23T11:22:34.551101+00:00,235cc976-8eb5-4227-a4c3-763381232e1e,,,
S-700,S,structural_section,human_review,2026-07-23T11:22:36.377565+00:00,c1b6fbaf-0a79-4fb3-91ed-e1945e7088f5,,,
S-701,S,structural_section,human_review,2026-07-23T11:22:38.289176+00:00,38348a9f-83bd-4c9b-8fe9-9fe049f8b1ba,,,
S-710,S,structural_section,human_review,2026-07-23T11:22:39.159903+00:00,8591532f-a445-4002-9c27-a316ce4e9893,,,
S-711,S,structural_section,human_review,2026-07-23T11:22:39.754883+00:00,ac051007-0f5d-4a71-9065-709c56e0b126,,,
S-800,S,structural_section,human_review,2026-07-23T11:22:40.480830+00:00,6e5230be-1b2f-42ad-8900-afca4609609c,,,
A572,A572,bolt,human_review,2026-07-23T11:22:50.678660+00:00,415b627a-b9e7-4ef4-8248-96bd23f84909,,,
A615,A615,bolt,human_review,2026-07-23T11:22:58.904326+00:00,7f6ae59b-e247-4072-80af-995615de4085,,,
A307,A307,bolt,human_review,2026-07-23T11:26:59.524622+00:00,c132c753-6d9e-4f29-b9c1-91a4633c3935,,,
A325,A325,bolt,human_review,2026-07-23T11:27:00.615123+00:00,ac128088-8f6b-4c8f-b146-c90efd0f61a5,,,
A36,A36,bolt,human_review,2026-07-23T11:27:13.451639+00:00,94889c49-a44f-44ba-9e78-a379c0987e8a,,,
A500,A500,bolt,human_review,2026-07-23T11:27:22.967857+00:00,36e572f5-5ff1-4fe2-8170-15fdac3bb4ad,,,
HSS12X4,HSS,structural_section,human_review,2026-07-23T11:27:33.961936+00:00,3744a1bd-adc9-4cea-9faa-ff00171f131d,,,
HSS4x0,HSS,structural_section,human_review,2026-07-23T11:27:35.100318+00:00,524fc732-28cd-4f60-ac36-64be975752ae,,,
HSS6X0,HSS,structural_section,human_review,2026-07-23T11:27:36.857361+00:00,b70b60ee-05a1-491e-916c-38542e5c1390,,,
HSS10X0,HSS,structural_section,human_review,2026-07-23T11:27:38.640069+00:00,754c6d95-f4e6-4667-aea8-b01c6b85a887,,,
HSS6x6,HSS,structural_section,human_review,2026-07-23T11:27:41.058126+00:00,a1f774dd-4442-42c4-9cc7-bbde6371d5f9,,,
HSS8X6,HSS,structural_section,human_review,2026-07-23T11:27:42.428335+00:00,69f8f923-3e8d-46fe-9fb5-7d5d6aa0f2c9,,,
L1x1x1/4,L,structural_section,human_review,2026-07-23T11:27:44.505426+00:00,eca11c08-79ef-4841-934c-0c7dfe173bda,,,
L4X3,L,structural_section,human_review,2026-07-23T11:27:45.569117+00:00,5a585cb4-d052-481b-8651-889d3f09b114,,,
L5X3,L,structural_section,human_review,2026-07-23T11:27:46.624875+00:00,11db8e17-f51e-4b3a-b248-2d49fd7eef14,,,
L5x5x1/4,L,structural_section,human_review,2026-07-23T11:27:47.717512+00:00,99f7027a-4bdc-4590-aa2c-c5da8e0baab6,,,
S-001,S,structural_section,human_review,2026-07-23T11:27:48.925839+00:00,253a71bd-620b-43e1-9d67-5b6e84d346fb,,,
S-002,S,structural_section,human_review,2026-07-23T11:27:50.702817+00:00,37452dee-375e-4d47-8d8d-b70a847ee57f,,,
S-003,S,structural_section,human_review,2026-07-23T11:27:51.889049+00:00,e6141483-ff17-4418-8556-c31c0fbb16d4,,,
S-004,S,structural_section,human_review,2026-07-23T11:27:52.603800+00:00,79f3b7ab-ee17-42b5-819d-c078e048d49c,,,
S-005,S,structural_section,human_review,2026-07-23T11:27:53.907903+00:00,b5b88179-c846-437e-afb1-8b078a51facc,,,
S-111,S,structural_section,human_review,2026-07-23T11:27:54.567610+00:00,2fe3cf6f-f8d8-48a6-8993-f172f358b7e9,,,
S-112,S,structural_section,human_review,2026-07-23T11:27:55.500816+00:00,e0934936-3315-48cd-a6c0-09742b03c03c,,,
S-113,S,structural_section,human_review,2026-07-23T11:27:56.971623+00:00,431af408-cb42-41e4-8ba1-cd9df6d315c3,,,
