id,token,category,prediction,model_probability,overall_confidence,confidence_level,uncertain,source_file,regex_suggested,status,reviewed_category,reviewed_class,notes,created_at,updated_at
b5536f4d,L18x12x3/8,,L,0.9962,0.7981,Medium,False,1200 K_Permit_Bid_Dwgs - Structural.pdf,L\d+(?:X\d+(?:(?:X\d+(?:(?:\-\d+/\d+|/\d+))?|\-\d+/\d+X\d+/\d+))?|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+)),approved,,L,,2026-07-22T10:47:35.514503+00:00,2026-07-22T10:48:07.813937+00:00
b983ff00,L5x5,,C,0.5791,0.582,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,(?:C|L)\d+X\d+(?:\.\d+)?,rejected,,,,2026-07-22T10:47:35.658019+00:00,2026-07-22T10:48:08.724374+00:00
d67a9453,S-101,,S,0.9568,0.7709,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.601596+00:00,2026-07-22T10:49:29.901538+00:00
4b7646bd,S-102,,S,0.9568,0.7709,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.656460+00:00,2026-07-22T10:49:33.563194+00:00
c3d8a74b,S-103,,S,0.9568,0.7709,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.706066+00:00,2026-07-22T10:49:39.107587+00:00
aa2f244b,S-104,,S,0.9568,0.7709,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.762291+00:00,2026-07-22T10:49:39.934810+00:00
77a33aa7,S-207,,S,0.9894,0.7872,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.934986+00:00,2026-07-22T10:49:40.654950+00:00
5afdd9d7,S-208,,S,0.9894,0.7872,Medium,False,Burrville ES - ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:49:11.988233+00:00,2026-07-22T10:49:41.509446+00:00
c65eadf2,W14X198,,W,0.9985,0.7955,Medium,False,Burrville ES - ST.pdf,(?:W|WF)\d+X\d+(?:\.\d+)?,approved,,W,,2026-07-22T10:49:12.485707+00:00,2026-07-22T10:49:48.470911+00:00
82fd2233,A153,,A,0.7046,0.6298,Medium,False,GCDC Building 4 - ST1.pdf,A\d+,approved,,A,,2026-07-22T10:50:36.878190+00:00,2026-07-22T10:50:53.332578+00:00
10982610,A496,,A,0.6436,0.5993,Medium,True,GCDC Building 4 - ST1.pdf,A\d+,approved,,A,,2026-07-22T10:50:36.982875+00:00,2026-07-22T10:50:54.596449+00:00
915c6db6,A525,,A,0.9622,0.7586,Medium,False,GCDC Building 4 - ST1.pdf,A\d+,approved,,A,,2026-07-22T10:50:37.070033+00:00,2026-07-22T10:50:55.381137+00:00
9cf7275b,A775,,A,0.6436,0.5993,Medium,True,GCDC Building 4 - ST1.pdf,A\d+,approved,,A,,2026-07-22T10:50:37.178752+00:00,2026-07-22T10:50:56.137642+00:00
475f1a64,A780,,A,0.6436,0.5993,Medium,True,GCDC Building 4 - ST1.pdf,A\d+,approved,,A,,2026-07-22T10:50:37.228592+00:00,2026-07-22T10:50:57.217278+00:00
42fc9952,HSS12x12,,HSS,0.9986,0.7993,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.394654+00:00,2026-07-22T10:51:02.443922+00:00
28ecad3b,HSS14x0,,HSS,0.9992,0.7996,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.504980+00:00,2026-07-22T10:51:03.098885+00:00
7b690acb,HSS14x10,,HSS,0.9982,0.7991,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.555839+00:00,2026-07-22T10:51:03.771511+00:00
4c0b6d51,HSS14x14,,HSS,0.9991,0.7996,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.621651+00:00,2026-07-22T10:51:04.634309+00:00
690316da,HSS6x6,,HSS,0.9995,0.7997,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.845240+00:00,2026-07-22T10:51:05.537045+00:00
d5849361,HSS8X6,,HSS,0.999,0.7995,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.907145+00:00,2026-07-22T10:51:06.196835+00:00
65c405e0,HSS8x4,,HSS,0.9991,0.7996,Medium,False,GCDC Building 4 - ST1.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:50:37.956178+00:00,2026-07-22T10:51:07.366619+00:00
5077df1e,L2x2x10,,S,0.2512,0.4181,Low,True,GCDC Building 4 - ST1.pdf,L\d+X\d+X\d+,rejected,,,,2026-07-22T10:50:38.113583+00:00,2026-07-22T10:51:11.249254+00:00
e9ece82c,L6x4x1/4,,L,0.9965,0.7982,Medium,False,GCDC Building 4 - ST1.pdf,L\d+(?:X\d+(?:(?:X\d+(?:(?:\-\d+/\d+|/\d+))?|\-\d+/\d+X\d+/\d+))?|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+)),approved,,L,,2026-07-22T10:50:38.629922+00:00,2026-07-22T10:51:15.563528+00:00
5e912be4,L7x7x1/2,,L,0.7066,0.6533,Medium,False,GCDC Building 4 - ST1.pdf,L\d+(?:X\d+(?:(?:X\d+(?:(?:\-\d+/\d+|/\d+))?|\-\d+/\d+X\d+/\d+))?|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+)),approved,,L,,2026-07-22T10:50:38.745225+00:00,2026-07-22T10:51:16.125267+00:00
32341fff,W18x36,,W,0.9967,0.7946,Medium,False,GCDC Building 4 - ST1.pdf,(?:W|WF)\d+X\d+(?:\.\d+)?,approved,,W,,2026-07-22T10:50:39.355995+00:00,2026-07-22T10:51:16.682079+00:00
21302e9d,S-000,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:09.630460+00:00,2026-07-22T10:54:39.758503+00:00
e0c61231,S-005,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:09.756409+00:00,2026-07-22T10:54:40.961895+00:00
8c488f38,S-100,,S,0.994,0.7895,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:09.807847+00:00,2026-07-22T10:54:41.541707+00:00
956b6519,S-105,,S,0.9937,0.7894,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:09.969657+00:00,2026-07-22T10:54:41.914374+00:00
c8ecf86f,S-200,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.024201+00:00,2026-07-22T10:54:42.105601+00:00
eafe4d63,S-300,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.079230+00:00,2026-07-22T10:54:42.603637+00:00
60a2a3d6,S-302,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.128837+00:00,2026-07-22T10:54:43.097923+00:00
4b0d0cb3,S-400,,S,0.9839,0.7844,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.183241+00:00,2026-07-22T10:54:43.313137+00:00
4ec9c250,S-500,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.232558+00:00,2026-07-22T10:54:43.601218+00:00
b350ea90,S-600,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.303232+00:00,2026-07-22T10:54:43.915717+00:00
4156c923,S-700,,A,0.7622,0.6586,Medium,False,ST.pdf,S\-\d+,approved,,S,,2026-07-22T10:54:10.352669+00:00,2026-07-22T10:54:44.070979+00:00
f3bb196e,S-701,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.419190+00:00,2026-07-22T10:54:44.383285+00:00
6c7a655b,S-710,,S,0.9882,0.7866,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.469444+00:00,2026-07-22T10:54:44.551774+00:00
f3e0441d,S-711,,S,0.9856,0.7853,Medium,False,ST.pdf,S(?:\d+X\d+(?:\.\d+)?|\-\d+),approved,,S,,2026-07-22T10:54:10.524434+00:00,2026-07-22T10:54:45.285567+00:00
ebec8837,S-800,,A,0.7622,0.6586,Medium,False,ST.pdf,S\-\d+,approved,,S,,2026-07-22T10:54:10.574643+00:00,2026-07-22T10:54:46.333112+00:00
7633cf1d,HSS12X4,,HSS,0.9896,0.7948,Medium,False,03 - SFSLS_251029_ISSUED FOR BID_2A_STRUCTURAL complied thru add 2.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:55:26.430927+00:00,2026-07-22T10:56:14.850977+00:00
44e5e6a1,HSS4x0,,HSS,0.9993,0.7996,Medium,False,03 - SFSLS_251029_ISSUED FOR BID_2A_STRUCTURAL complied thru add 2.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:58:32.559926+00:00,2026-07-22T10:58:54.276418+00:00
